title,list_price,bedrooms,bathrooms,sqft,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,sqft_min,sqft_max,sqft_avg
68 Hewitt Avenue,3695000,4.0,5.0,3000-3500 ,https://www.zolo.ca/toronto-real-estate/68-hewitt-avenue,"68 Hewitt avenue, Toronto ",M6R1Y3,43.652,-79.4548,Detached,2021-12-29,house,No Data,"$9,581 /yr",3000,3500,3250.0
810 - 7 Concorde Place,499900,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/7-concorde-place/810,"7 Concorde place, Toronto ",M3C3N4,43.7303,-79.3274,Condo,2021-12-29,Apt,No Data,"$1,528 /yr",600,699,649.5
905 - 2285 Lake Shore Boulevard,599000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/2285-lake-shore-boulevard/905,"2285 Lake Shore boulevard, Toronto ",M8V3X9,43.6189,-79.4854,Comm Element Condo,2021-12-29,Apt,No Data,"$1,589 /yr",700,799,749.5
35 Acorn Avenue,949000,0.0,0.0,700-1100 ,https://www.zolo.ca/toronto-real-estate/35-acorn-avenue,"35 Acorn avenue, Toronto M",9B 3R1,43.6386,-79.5401,Detached,2021-12-29,detached,No Data,"$3,330 /yr",700,1100,900.0
1109 - 8 Lee Centre Drive,499000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/8-lee-centre-drive/1109,"8 Lee Centre Drive, Toronto ",M1H3H8,43.7809,-79.2476,Condo,2021-12-28,Apt,No Data,"$1,515 /yr",800,899,849.5
1511 - 736 Spadina Avenue,835000,2.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/736-spadina-avenue/1511,"736 Spadina avenue, Toronto ",M5S2J6,43.6658,-79.4035,Condo,2021-12-28,Apt,No Data,"$3,263 /yr",700,799,749.5
2703 - 200 Cumberland Street,1898000,1.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/200-cumberland-street/2703,"200 Cumberland street, Toronto M",5R 0B7,43.6701,-79.3944,Condo,2021-12-29,Apt,No Data,"$6,196 /yr",1000,1199,1099.5
1301 - 15 Baseball Place,850000,2.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/15-baseball-place/1301,"15 Baseball place, Toronto ",M4M2A5,43.6575,-79.3515,Condo,2021-12-29,Apt,No Data,No Data,700,799,749.5
908 - 3 Hickory Tree Road,599900,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/3-hickory-tree-road/908,"3 Hickory Tree road, Toronto ",M9N3W5,43.6984,-79.514,Condo,2021-12-29,Apt,No Data,"$1,204 /yr",1200,1399,1299.5
1712 - 11 Brunel Court,749000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/11-brunel-court/1712,"11 Brunel court, Toronto ",M5V3Y3,43.6394,-79.3932,Condo,2021-12-28,Apt,No Data,"$2,332 /yr",600,699,649.5
2612 - 115 Mcmahon Drive,599000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/115-mcmahon-drive/2612,"115 Mcmahon Drive, Toronto", M20E3,43.7669,-79.3711,Condo,2021-12-28,Apt,No Data,"$2,273 /yr",600,699,649.5
422 - 942 Yonge Street,692000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/942-yonge-street/422,"942 Yonge street, Toronto ",M4W3S8,43.6746,-79.3887,Condo,2021-12-28,Apt,No Data,"$2,441 /yr",600,699,649.5
834 - 60 Heintzman Street,548800,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/60-heintzman-street/834,"60 Heintzman street, Toronto ",M6P5A1,43.6669,-79.4647,Condo,2021-12-28,Apt,No Data,"$1,631 /yr",500,599,549.5
907 - 51 East Liberty Street,599000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/51-east-liberty-street/907,"51 East Liberty street, Toronto ",M6K3P8,43.6386,-79.4122,Condo,2021-12-28,Apt,No Data,"$2,151 /yr",600,699,649.5
1308 - 20 Brin Drive,869900,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/20-brin-drive/1308,"20 Brin Drive, Toronto ",M8X0B2,43.6614,-79.5118,Condo,2021-12-28,Apt,No Data,No Data,800,899,849.5
571 - 209 Fort York Boulevard,499900,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/209-fort-york-boulevard/571,"209 Fort York boulevard, Toronto ",M5V4A1,43.6372,-79.4046,Condo,2021-12-28,Apt,No Data,"$2,370 /yr",500,599,549.5
1408 - 120 Varna Drive,549900,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/120-varna-drive/1408,"120 Varna Drive, Toronto ",M6A1N3,43.7235,-79.446,Condo,2021-12-28,Apt,No Data,No Data,500,599,549.5
401 - 5 Kenneth Avenue,599000,1.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/5-kenneth-avenue/401,"5 Kenneth avenue, Toronto ",M2N6M7,43.7642,-79.4049,Condo,2021-12-28,Apt,No Data,"$2,304 /yr",1000,1199,1099.5
3209 - 1 Bloor Street,1098000,1.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/1-bloor-street/3209,"1 Bloor street, Toronto ",M4W1A9,43.6701,-79.3865,Condo,2021-12-28,Apt,No Data,"$4,357 /yr",700,799,749.5
129 - 11 Foundry Avenue,869000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/11-foundry-avenue/129,"11 Foundry avenue, Toronto M",6H 0B7,43.669,-79.448,Townhouse,2021-12-28,house,No Data,"$2,578 /yr",800,899,849.5
2110 - 5791 Yonge Street,685000,2.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/5791-yonge-street/2110,"5791 Yonge street, Toronto ",M2M3T9,43.7845,-79.416,Condo,2021-12-28,Apt,No Data,"$2,189 /yr",700,799,749.5
208 - 195 Bonis Avenue,680000,2.0,2.0,600-699 ,https://www.zolo.ca/toronto-real-estate/195-bonis-avenue/208,"195 Bonis avenue, Toronto M",1V 0A5,43.7859,-79.2919,Condo,2021-12-28,Apt,No Data,"$1,920 /yr",600,699,649.5
38 - 1361 Neilson Road,625000,2.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/1361-neilson-road/38,"1361 Neilson road, Toronto M",1B 4Y9,43.809,-79.2194,Townhouse,2021-12-28,Apt,No Data,"$2,024 /yr",700,799,749.5
Ph3505 - 50 Ordnance Street,989990,2.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/50-ordnance-street/ph3505,"50 Ordnance street, Toronto ",M6K0C9,43.6397,-79.4097,Condo,2021-12-28,Apt,No Data,No Data,700,799,749.5
1807 - 25 Richmond Street East,675000,1.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/25-richmond-street-east/1807,"25 Richmond street, Toronto ",M5C0A6,43.6519,-79.3772,Condo,2021-12-28,Apt,No Data,No Data,0,499,249.5
904 - 45 Carlton Street,850000,2.0,2.0,1200-1399 ,https://www.zolo.ca/toronto-real-estate/45-carlton-street/904,"45 Carlton street, Toronto M",5B 2H9,43.6614,-79.3807,Condo,2021-12-28,Apt,No Data,"$2,982 /yr",1200,1399,1299.5
1007 - 576 Front Street West,918000,3.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/576-front-street-west/1007,"576 Front street, Toronto ",M5V1C1,43.6412,-79.4005,Condo,2021-12-28,Apt,No Data,"$3,631 /yr",900,999,949.5
1120 - 15 James Finlay Way,649900,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/15-james-finlay-way/1120,"15 James Finlay way, Toronto ",M3M0B3,43.7262,-79.4793,Condo,2021-12-28,Apt,No Data,"$2,933 /yr",900,999,949.5
